IMDb ID,title,domestic boxoffice,international boxoffice,Worlwide boxoffice
tt0245712,amores perros,5408467,15500000,20908467
tt0190332,"crouching tiger, hidden dragon",128530421,85446864,213978518
tt0234288,divided we fall,1332586,713854,2046440
tt0209037,everybody famous!,81734,15619,97353
tt0216787,the taste of others,891369,130569,1021938
tt0241303,chocolat,71509363,81191263,152700626
tt0195685,erin brockovich,125595205,132256558,257851763
tt0172495,gladiator,187705427,277801273,465516248
tt0181865,traffic,124115725,83400000,207515725
tt0268397,jimmy neutron: boy genius,80936232,22056304,102992536
tt0198781,"monsters, inc.",290642256,289112013,579770299
tt0126029,shrek,268698241,220279678,488977919
tt0211915,amélie,33712444,141317403,175183052
tt0279064,elling,314729,1727461,2042190
tt0169102,lagaan,909043,815763,1724806
tt0283509,no man's land,1012153,3846716,4858869
tt0292542,son of the bride,624757,8147938,8772695
tt0268978,a beautiful mind,170742341,146048916,316791257
tt0280707,gosford park,41308615,46445429,87754044
tt0247425,in the bedroom,35930604,8832577,44763181
tt0120737,the lord of the rings: the fellowship of the ring,319372078,568468333,888483037
tt0203009,moulin rouge,57386607,127541935,184935252
tt0268380,ice age,176387405,206869731,383257136
tt0275847,lilo & stitch,145794338,127349813,273147061
tt0166813,spirit: stallion of the cimarron,73280117,49283422,122563539
tt0245429,spirited away,15205725,343418040,358898676
tt0133240,treasure planet,38176783,71864580,110041363
tt0313196,el crimen del padre amaro,5717044,21279694,26996738
tt0299977,hero,53710019,123685538,177395557
tt0311519,the man without a past,921847,8642390,9564237
tt0161860,nowhere in africa,6180200,18141980,24322180
tt0245157,zus & zo,49468,231751,281219
tt0299658,chicago,170687518,136089848,306777366
tt0217505,gangs of new york,77812000,115960504,193772504
tt0274558,the hours,41675994,67170078,108846217
tt0167261,the lord of the rings: the two towers,345518923,592392292,938532865
tt0253474,the pianist,32590750,87500000,120098945
tt0328880,brother bear,85336277,165061521,250397798
tt0266543,finding nemo,380843261,560794699,941637960
tt0286244,the triplets of belleville,7007149,7769611,14776775
tt0338135,the barbarian invasions,8544975,26338035,34883010
tt0338309,evil,15530,512715,528245
tt0351817,the twilight samurai,559765,6813004,7372769
tt0322674,twin sisters,1563,5936602,5938165
tt0288330,zelary,330033,15131272,15461305
tt0167260,the lord of the rings: the return of the king,381878219,756309109,1138585992
tt0335266,lost in translation,44585453,74101484,118688756
tt0311113,master and commander: the far side of the world,93927920,117694615,211622535
tt0327056,mystic river,90135191,66460000,156595191
tt0329575,seabiscuit,120277854,28058591,148336445
tt0317705,the incredibles,261441092,370243558,631688498
tt0307453,shark tale,160861908,213721971,374583879
tt0298148,shrek 2,444978202,487536387,932530034
tt0382330,as it is in heaven,10236,18318233,18328469
tt0372824,the chorus (les choristes),3635164,84750780,88385944
tt0363163,downfall,5509040,86672534,92181574
tt0369702,the sea inside,2104923,41626698,43731621
tt0419279,yesterday,0,246439,246439
tt0338751,the aviator,102610330,111109612,213719942
tt0308644,finding neverland,51680613,64970000,116650613
tt0405159,million dollar baby,100492203,116271443,216763646
tt0350258,ray,75331600,48639776,123971376
tt0375063,sideways,71503593,38203338,109706931
tt0347149,howl's moving castle,9173958,231607608,240971323
tt0121164,tim burton's corpse bride,53401527,63835950,117237680
tt0312004,wallace & gromit in the curse of the were-rabbit,56110897,136665219,192776116
tt0443446,don't tell,29015,5894400,5923415
tt0424205,joyeux noël,1054361,16654794,17709155
tt0445620,paradise now,1457843,2122059,3579902
tt0426578,sophie scholl - the final days,680331,10123984,10804315
tt0468565,tsotsi,2912606,6978697,9891303
tt0388795,brokeback mountain,83043761,95019405,178064141
tt0379725,capote,28750530,20576875,49327405
tt0375679,crash,54580300,43829761,98410061
tt0433383,"good night, and good luck.",31558003,23083188,54641191
tt0408306,munich,47403685,83578444,130982407
tt0317219,cars,244082982,217908885,461996328
tt0366548,happy feet,198000317,186335791,384336179
tt0385880,monster house,73661010,68200233,141861243
tt0457655,after the wedding,1534584,10098139,11632723
tt0444182,days of glory (indigènes),320700,22643001,22963701
tt0405094,the lives of others,11286112,66386039,77672685
tt0457430,pan's labyrinth,37646380,46215652,83863565
tt0240200,water,5529144,7485812,13014956
tt0449467,babel,34302837,101027345,135330835
tt0407887,the departed,132399394,159081058,291481358
tt0498380,letters from iwo jima,13756082,54917146,68673228
tt0449059,little miss sunshine,59891098,41167856,101059571
tt0436697,the queen,56441711,68481442,124925340
tt0808417,persepolis,4445756,18338222,22783990
tt0382932,ratatouille,206445654,417280431,623729380
tt0423294,surf's up,58867694,93138019,152010962
tt0758732,beaufort,102591,168749,271340
tt0813547,the counterfeiters,5488570,13326143,18814713
tt0879843,katyn,118095,14650356,14768451
tt0416044,mongol,5705761,20821749,26527510
tt0488478,12,125120,7412333,7537453
tt0783233,atonement,50927067,78338994,129266061
tt0467406,juno,143495265,88877416,232373066
tt0465538,michael clayton,49033882,43957953,92991835
tt0477348,no country for old men,74283625,97344115,171632777
tt0469494,there will be blood,40222514,36207867,76430381
tt0397892,bolt,114053579,195926415,309979994
tt0441773,kung fu panda,216064546,416311606,632384787
tt0910970,wall-e,223808164,303586398,527403656
tt0765432,the baader meinhof complex,476270,26461085,26937355
tt1068646,the class,3766810,25536695,29303505
tt1069238,departures,1498210,72738741,74236951
tt1173745,revanche,258388,628019,886407
tt1185616,waltz with bashir,2283849,8895523,11179372
tt0421715,the curious case of benjamin button,127509326,208293460,335802786
tt0870111,frost/nixon,18622031,8804304,27426335
tt1013753,milk,31841299,22748259,54662930
tt0976051,the reader,34194407,74708079,108902486
tt1010048,slumdog millionaire,141319928,237090614,378411362
tt0327597,coraline,116896576,68952667,185860104
tt0432283,fantastic mr. fox,21002919,37084225,58091644
tt0780521,the princess and the frog,104400899,162644866,267056816
tt0485601,the secret of kells,676775,1145174,1822189
tt1049413,up,293004164,442094938,735103954
tt1077262,ajami,622403,709248,1331651
tt1206488,the milk of sorrow,10462,1547288,1557750
tt1235166,a prophet,2087720,15785971,17873691
tt1305806,the secret in their eyes,6391436,28688214,35079650
tt1149362,the white ribbon,2222862,17130726,19353588
tt0499549,avatar,785221649,2138484377,2923710708
tt0878804,the blind side,255982860,53248834,309231694
tt1136608,district 9,115646235,95242715,210888950
tt1174732,an education,12574914,13521938,26096852
tt0887912,the hurt locker,17017811,32241955,49259766
tt0361748,inglourious basterds,120540719,200918582,321460744
tt0929632,precious: based on the novel 'push' by sapphire,47566524,16083005,63649529
tt1019452,a serious man,9228768,22201566,31431652
tt1193138,up in the air,83823381,83019358,166842739
tt0892769,how to train your dragon,217581231,277298240,494879860
tt0775489,the illusionist,2231474,3775720,6007194
tt0435761,toy story 3,415004880,652311221,1067316101
tt1164999,biutiful,5101237,20046549,25147786
tt1379182,dogtooth,110248,611666,721914
tt1340107,in a better world,1008098,11996406,13004504
tt1255953,incendies,2071334,4726527,6797861
tt1229381,outside the law (hors-la-loi),96933,3373554,3470487
tt0947798,black swan,106954678,222443368,329398046
tt0964517,the fighter,93617009,35573860,129190869
tt1375666,inception,292587330,546794568,839381898
tt0842926,the kids are all right,20811365,13947586,34758951
tt1504320,the king's speech,138797449,332357999,471155448
tt1542344,127 hours,18335230,42403567,60738797
tt1285016,the social network,96962694,127957681,224927749
tt1403865,true grit,171243005,81033922,252278285
tt1399683,winter's bone,6531503,7265331,13796834
tt1673702,a cat in paris,309973,1772098,2082071
tt1235830,chico & rita,350524,1997395,2347919
tt1302011,kung fu panda 2,165249063,500443218,665692281
tt0448694,puss in boots,149260504,405726973,554987477
tt1192628,rango,123477607,122246996,245724603
tt1821593,bullhead,151840,4331307,4483147
tt1445520,footnote,2007758,443501,2451259
tt1417075,in darkness,1041455,8914430,9955885
tt2011971,monsieur lazhar,2009517,7065194,9074711
tt1832382,a separation,7099055,15827021,22926076
tt1655442,the artist,44671682,88799489,133471171
tt1033575,the descendants,82584160,94659025,177243185
tt0477302,extremely loud & incredibly close,31847881,23400000,55247881
tt1454029,the help,169708112,52094074,221802186
tt0970179,hugo,73864507,111905803,185770310
tt1605783,midnight in paris,56817045,94670338,151487383
tt1210166,moneyball,75605492,34600724,110206216
tt0478304,the tree of life,13303319,45083468,58386787
tt1568911,war horse,79884879,97700000,177584879
tt1217209,brave,237283207,301700000,538983207
tt1142977,frankenweenie,35291068,50322590,85613658
tt1623288,paranorman,56003051,51136348,107139399
tt1430626,the pirates! band of misfits,31051126,92014915,123069765
tt1772341,wreck-it ralph,189422889,281800061,471222950
tt1602620,amour,6739492,22924648,29664140
tt1613750,kon-tiki,1517410,21325477,22842887
tt2059255,no,2343664,5355431,7699095
tt1276419,a royal affair,1546761,13212236,14758997
tt1820488,war witch,70544,242843,313387
tt1024648,argo,136025503,96300000,232325503
tt2125435,beasts of the southern wild,12795746,8312000,21107746
tt1853728,django unchained,162805434,263268939,426076293
tt1707386,les misérables,149260140,293497389,442757529
tt0454876,life of pi,124987023,484029542,609016565
tt0443272,lincoln,182207973,93085477,275293450
tt1045658,silver linings playbook,132092958,104319495,236412453
tt1790885,zero dark thirty,95720716,37100000,132820716
tt0481499,the croods,187168425,400067558,587266745
tt1690953,despicable me 2,368065385,602700620,970766005
tt1816518,ernest & celestine,262075,7908258,8170333
tt2294629,frozen,400953009,905495084,1310333380
tt2013293,the wind rises,5209580,131865875,137076028
tt2024519,the broken circle breakdown,175058,5866445,6041503
tt2358891,the great beauty,2852400,22605731,25467399
tt2106476,the hunt,613308,15273065,15886373
tt2852470,the missing picture,52164,25933,78097
tt2852406,omar,356000,258444,614444
tt1800241,american hustle,150117807,101054000,251171807
tt1535109,captain phillips,107100855,111690956,218791811
tt0790636,dallas buyers club,27298285,27900000,55198285
tt1454468,gravity,274092705,449626800,723719539
tt1798709,her,25568251,22701018,48269269
tt1821549,nebraska,17654912,10027960,27682872
tt2431286,philomena,37709979,62419893,100129872
tt2024544,12 years a slave,56671993,131061209,187734091
tt0993846,the wolf of wall street,116900694,289977539,407039432
tt2245084,big hero 6,222527828,435341858,657870525
tt0787474,the boxtrolls,50837305,57418465,108255770
tt1646971,how to train your dragon 2,177002924,444534595,621537519
tt1865505,song of the sea,857522,3370512,4228034
tt2576852,the tale of the princess kaguya,974913,23776487,24751400
tt2718492,ida,3827060,7329776,11156836
tt2802154,leviathan,1092800,3346681,4439481
tt2991224,tangerines,144501,879631,1024132
tt3409392,timbuktu,1076075,6103316,7179391
tt3011894,wild tales,3106530,28372363,31478893
tt2179136,american sniper,350159020,197500000,547659020
tt2562232,birdman or (the unexpected virtue of ignorance),42340598,60874496,103215094
tt1065073,boyhood,25352281,22785385,48137666
tt2278388,the grand budapest hotel,59301324,115261956,174567384
tt2084970,the imitation game,91125683,142430025,233555708
tt1020072,selma,52076908,15705854,67782762
tt2980516,the theory of everything,35893537,87833151,123726688
tt2582802,whiplash,14003391,36348474,50360880
tt2401878,anomalisa,3759286,1900000,5659286
tt3183630,boy and the world,129480,147663,277143
tt2096673,inside out,356461711,502609564,859076254
tt2872750,shaun the sheep movie,19375982,91167234,110549295
tt3398268,when marnie was there,561085,34451596,35012681
tt4285496,embrace of the serpent,1329249,1887927,3217212
tt3966404,mustang,845464,4429200,5274664
tt3808342,son of saul,1777043,4882078,6659121
tt3170902,theeb,283024,485425,768449
tt3830162,a war,122902,991761,1114663
tt1596363,the big short,70259870,63181000,133440870
tt3682448,bridge of spies,72313754,93164594,165478348
tt2381111,brooklyn,38322743,24079412,62402155
tt1392190,mad max: fury road,154280290,226156977,380437267
tt3659388,the martian,228433663,402187155,630621406
tt1663202,the revenant,183637894,349312609,532950503
tt3170832,room,14677654,20724104,35402766
tt1895587,spotlight,45055776,53634478,98690254
tt4302938,kubo and the two strings,48023088,28226350,76249438
tt3521164,moana,248757044,394575423,643332467
tt2321405,my life as a zucchini,309766,5563391,5873157
tt3666024,the red turtle,921974,5691529,6613503
tt2948356,zootopia,341268248,684253441,1025521689
tt3841424,land of mine,435266,2734287,3169553
tt4080728,a man called ove,3479315,27247309,30726624
tt5186714,the salesman,2402067,4551537,6953604
tt4239726,tanna,46654,55646,102300
tt4048272,toni erdmann,1479387,10523477,12002864
tt2543164,arrival,100546139,112212517,212758656
tt2671706,fences,57682904,6731857,64414761
tt2119532,hacksaw ridge,67209615,113354021,180563636
tt2582782,hell or high water,27007844,10991831,37999675
tt4846340,hidden figures,169607287,66349611,235957472
tt3783958,la la land,151101803,358079696,509183536
tt3741834,lion,51738905,89114905,140853810
tt4034228,manchester by the sea,47695371,31292777,78988148
tt4975722,moonlight,27854932,37317679,65172611
tt3874544,the boss baby,175003033,352962903,527965936
tt3901826,the breadwinner,313215,2476999,2790214
tt2380307,coco,210460015,604181157,814641172
tt3411444,ferdinand,84410380,211658819,296069199
tt3262342,loving vincent,6735118,35452547,42187665
tt5639354,a fantastic woman,2020988,1818376,3839364
tt7048622,the insult,1001305,2664931,3666268
tt6304162,loveless,566356,3362002,3928358
tt5607714,on body and soul,0,2132634,2132634
tt4995790,the square,1502347,7085683,8588030
tt5726616,call me by your name,18095701,49350010,67446279
tt4555426,darkest hour,56468410,94378864,150847274
tt5013056,dunkirk,189740665,343904142,533696799
tt5052448,get out,176196665,79548492,255751443
tt4925292,lady bird,48958273,30028205,78987280
tt5776858,phantom thread,21198205,31005035,52204454
tt6294822,the post,81903458,111861206,193764664
tt5580390,the shape of water,63859435,131384029,195243464
tt5027774,"three billboards outside ebbing, missouri",54513740,108215581,162729321
tt3606756,incredibles 2,608581744,634643923,1243225667
tt5104604,isle of dogs,32015231,32641377,64659098
tt6900448,mirai,812794,27944167,28756961
tt5848272,ralph breaks the internet,201091711,328232251,529323962
tt4633694,spider-man: into the spider-verse,190241310,203361125,393602435
tt8267604,capernaum,1661096,62755907,64417003
tt6543652,cold war,4580048,15904754,20484802
tt5311542,never look away,1304042,4889192,6193234
tt6155172,roma,0,1140769,1140769
tt8075192,shoplifters,3313513,64685822,67999348
tt1825683,black panther,700426566,649499517,1349926083
tt7349662,blackkklansman,49275340,44138369,93413709
tt1727824,bohemian rhapsody,216668042,694141269,910813521
tt5083738,the favourite,34366783,61551923,95918706
tt6966692,green book,85080171,236672485,321752656
tt1517451,a star is born,215333122,221100000,436433122
tt6266538,vice,47836282,28237206,76073488
tt2386490,how to train your dragon: the hidden world,160945505,379042054,539987993
tt9806192,i lost my body,0,1136431,1136431
tt4729430,klaus,0,0,0
tt6348138,missing link,16649539,9916171,26565710
tt1979376,toy story 4,434038008,639803386,1073841394
tt8649186,corpus christi,127240,9816661,9943901
tt8991268,honeyland,815082,499178,1314260
tt10199590,les misérables,330181,54276191,54606372
tt8291806,pain and glory,4567338,32792351,37359689
tt6751668,parasite,53847897,208757704,262616458
tt1950186,ford v ferrari,117624357,108675123,226299480
tt1302006,the irishman,0,968853,968853
tt2584384,jojo rabbit,33370906,60323801,93694707
tt7286456,joker,335477657,743480625,1078958629
tt3281548,little women,108101214,224002569,332103783
tt7653254,marriage story,0,333686,333686
tt8579674,1917,159227644,286836708,446064352
tt7131622,once upon a time...in hollywood,142502728,249602348,392105159
tt7146812,onward,61555145,80384897,141940042
tt7488208,over the moon,0,0,0
tt6193408,a shaun the sheep movie: farmageddon,0,43133089,43133089
tt2948372,soul,946154,121031357,121977511
tt5198068,wolfwalkers,0,1310720,1310720
tt10288566,another round,0,12742455,12745392
tt9586294,better days,1921657,225391987,227313644
tt10706602,collective,0,200041,200041
tt10360862,the man who sold his skin,0,227290,227290
tt8633462,"quo vadis, aida?",0,813253,813253
tt10272386,the father,2122771,21920547,24048935
tt9784798,judas and the black messiah,5478009,2000000,7478009
tt10618286,mank,0,0,0
tt10633456,minari,3110580,12177998,15288578
tt9770150,nomadland,3700000,35758207,39458207
tt9620292,promising young woman,6460965,12393201,18854166
tt5363618,sound of metal,0,516520,516520
tt1070874,the trial of the chicago 7,0,0,0
tt2953050,encanto,96093622,165190570,261284192
tt8430054,flee,339754,371922,711676
tt12801262,luca,1324302,49750471,51074773
tt7979580,the mitchells vs. the machines,0,0,0
tt5109280,raya and the last dragon,54723032,75700000,130423032
tt14039582,drive my car,2352240,13005099,15357339
tt12680684,the hand of god,0,167909,167909
tt10189300,lunana: a yak in the classroom,0,1990014,1990014
tt10370710,the worst person in the world,3034775,9652732,12687507
tt12789558,belfast,9250870,39907839,49158709
tt10366460,coda,0,1905058,1905058
tt11286314,don't look up,0,791863,791863
tt1160419,dune,108897830,301770188,410668018
tt9620288,king richard,15129285,24400000,39529285
tt11271038,licorice pizza,17318007,15958068,33276075
tt7740496,nightmare alley,11338107,28291088,39629195
tt10293406,the power of the dog,0,271009,271009
tt3581652,west side story,38530322,37485849,76016171
tt1488589,guillermo del toro's pinocchio,0,109846,109846
tt15339456,marcel the shell with shoes on,6333702,575507,6909209
tt3915174,puss in boots: the last wish,186090535,294375878,480466413
tt9288046,the sea beast,0,0,0
tt8097030,turning red,1399001,20414357,21813358
tt1016150,all quiet on the western front,0,0,0
tt15301048,"argentina, 1985",0,905893,905893
tt9660502,close,1100113,4115931,5216044
tt19652910,eo,1068782,1516470,2585252
tt15109082,the quiet girl,1500014,5285390,6785404
tt1630029,avatar: the way of water,684075767,1636174514,2320250281
tt11813216,the banshees of inisherin,10582266,39668359,50250625
tt3704428,elvis,151040048,137630236,288670284
tt6710474,everything everywhere all at once,77191785,66220886,143412671
tt14208870,the fabelmans,17348945,28265268,45614213
tt14444726,tár,6773650,22403513,29177163
tt1745960,top gun: maverick,718732821,776963471,1495696292
tt7322224,triangle of sadness,4608096,21587647,26195743
tt13669038,women talking,5456531,3819572,9276103
tt6587046,the boy and the heron,46832867,235589319,282422186
tt15789038,elemental,154426697,342017611,496444308
tt19500164,nimona,0,0,0
tt13429870,robot dreams,875215,3781282,4656497
tt9362722,spider-man: across the spider-verse,381593754,309230984,690824738
tt14225838,io capitano,150048,7486903,7636951
tt27503384,perfect days,3766668,21894195,25660952
tt16277242,society of the snow,0,1281,1281
tt26612950,the teachers' lounge,628218,5079224,5707442
tt7160372,the zone of interest,8659464,43972420,52631884
tt23561236,american fiction,21098470,1384900,22483370
tt17009710,anatomy of a fall,5076369,30975137,36051506
tt1517268,barbie,636238421,810800000,1447038421
tt14849194,the holdovers,20355375,25382583,45737958
tt5537002,killers of the flower moon,68035488,90737111,158772599
tt5535276,maestro,0,383532,383532
tt15398776,oppenheimer,330078895,645732438,975811333
tt13238346,past lives,11331983,31345176,42677159
tt14230458,poor things,34553225,83072230,117625455
tt4772188,flow,4820293,25019414,29905187
tt22022452,inside out 2,652980194,1045883622,1698863816
tt23770030,memoir of a snail,669798,6880508,7566626
tt17163970,wallace & gromit: vengeance most fowl,0,191452,191452
tt29623480,the wild robot,143901945,189264000,333165945
tt20221436,emilia pérez,0,16298763,16298763
tt10236164,the girl with the needle,112199,417972,530171
tt14961016,i'm still here,6233517,29704111,35937628
tt32178949,the seed of the sacred fig,860139,5672251,6532783
tt28607951,anora,20474295,39054747,59568145
tt8999762,the brutalist,16279129,33938993,50257472
tt11563598,a complete unknown,75001720,65003328,140263060
tt20215234,conclave,32580655,85384191,119109751
tt15239678,dune: part two,282144358,432500000,714644358
tt23055660,nickel boys,2858346,158034,3016380
tt17526714,the substance,17584795,59732017,77316812
tt1262426,wicked,473231120,280675349,755311722
