IMDb ID,title,international boxoffice
tt0245712,amores perros,"$15,500,000"
tt0190332,"crouching tiger, hidden dragon","$85,446,864"
tt0234288,divided we fall,"$713,854"
tt0209037,everybody famous!,"$15,619"
tt0216787,the taste of others,"$130,569"
tt0241303,chocolat,"$81,191,263"
tt0195685,erin brockovich,"$132,256,558"
tt0172495,gladiator,"$277,801,273"
tt0181865,traffic,"$83,400,000"
tt0268397,jimmy neutron: boy genius,"$22,056,304"
tt0198781,"monsters, inc.","$289,112,013"
tt0126029,shrek,"$220,279,678"
tt0211915,amélie,"$141,317,403"
tt0279064,elling,"$1,727,461"
tt0169102,lagaan,"$815,763"
tt0283509,no man's land,"$3,846,716"
tt0292542,son of the bride,"$8,147,938"
tt0268978,a beautiful mind,"$146,048,916"
tt0280707,gosford park,"$46,445,429"
tt0247425,in the bedroom,"$8,832,577"
tt0120737,the lord of the rings: the fellowship of the ring,"$568,468,333"
tt0203009,moulin rouge,"$127,541,935"
tt0268380,ice age,"$206,869,731"
tt0275847,lilo & stitch,"$127,349,813"
tt0166813,spirit: stallion of the cimarron,"$49,283,422"
tt0245429,spirited away,"$343,419,029"
tt0133240,treasure planet,"$71,864,580"
tt0313196,el crimen del padre amaro,"$21,279,694"
tt0299977,hero,"$123,685,538"
tt0311519,the man without a past,"$8,642,390"
tt0161860,nowhere in africa,"$18,141,980"
tt0245157,zus & zo,"$231,751"
tt0299658,chicago,"$136,089,848"
tt0217505,gangs of new york,"$115,960,504"
tt0274558,the hours,"$67,170,078"
tt0167261,the lord of the rings: the two towers,"$592,392,292"
tt0253474,the pianist,"$87,500,000"
tt0328880,brother bear,"$165,061,521"
tt0266543,finding nemo,"$560,794,699"
tt0286244,the triplets of belleville,"$7,769,611"
tt0338135,the barbarian invasions,"$26,338,035"
tt0338309,evil,"$512,715"
tt0351817,the twilight samurai,"$6,813,004"
tt0322674,twin sisters,"$5,936,602"
tt0288330,zelary,"$15,131,272"
tt0167260,the lord of the rings: the return of the king,"$756,309,109"
tt0335266,lost in translation,"$74,101,484"
tt0311113,master and commander: the far side of the world,"$117,694,615"
tt0327056,mystic river,"$66,460,000"
tt0329575,seabiscuit,"$28,058,591"
tt0317705,the incredibles,"$370,243,558"
tt0307453,shark tale,"$213,721,971"
tt0298148,shrek 2,"$487,536,387"
tt0382330,as it is in heaven,"$18,318,233"
tt0372824,the chorus (les choristes),"$84,750,780"
tt0363163,downfall,"$86,672,534"
tt0369702,the sea inside,"$41,626,698"
tt0419279,yesterday,"$246,439"
tt0338751,the aviator,"$111,109,612"
tt0308644,finding neverland,"$64,970,000"
tt0405159,million dollar baby,"$116,271,443"
tt0350258,ray,"$48,639,776"
tt0375063,sideways,"$38,203,338"
tt0347149,howl's moving castle,"$231,612,154"
tt0121164,tim burton's corpse bride,"$63,835,950"
tt0312004,wallace & gromit in the curse of the were-rabbit,"$136,665,219"
tt0443446,don't tell,"$5,894,400"
tt0424205,joyeux noël,"$16,654,794"
tt0445620,paradise now,"$2,122,059"
tt0426578,sophie scholl - the final days,"$10,123,984"
tt0468565,tsotsi,"$6,978,697"
tt0388795,brokeback mountain,"$95,019,405"
tt0379725,capote,"$20,576,875"
tt0375679,crash,"$43,829,761"
tt0433383,"good night, and good luck.","$23,083,188"
tt0408306,munich,"$83,578,444"
tt0317219,cars,"$217,908,885"
tt0366548,happy feet,"$186,335,791"
tt0385880,monster house,"$68,200,233"
tt0457655,after the wedding,"$10,098,139"
tt0444182,days of glory (indigènes),"$22,643,001"
tt0405094,the lives of others,"$66,386,039"
tt0457430,pan's labyrinth,"$46,215,652"
tt0240200,water,"$7,485,812"
tt0449467,babel,"$101,027,345"
tt0407887,the departed,"$159,081,058"
tt0498380,letters from iwo jima,"$54,917,146"
tt0449059,little miss sunshine,"$41,167,856"
tt0436697,the queen,"$68,481,442"
tt0808417,persepolis,"$18,338,222"
tt0382932,ratatouille,"$417,280,431"
tt0423294,surf's up,"$93,138,019"
tt0758732,beaufort,"$168,749"
tt0813547,the counterfeiters,"$13,326,143"
tt0879843,katyn,"$14,650,356"
tt0416044,mongol,"$20,821,749"
tt0488478,12,"$7,412,333"
tt0783233,atonement,"$78,338,994"
tt0467406,juno,"$88,877,416"
tt0465538,michael clayton,"$43,957,953"
tt0477348,no country for old men,"$97,344,115"
tt0469494,there will be blood,"$36,207,867"
tt0397892,bolt,"$195,926,415"
tt0441773,kung fu panda,"$416,311,606"
tt0910970,wall-e,"$303,586,398"
tt0765432,the baader meinhof complex,"$26,461,085"
tt1068646,the class,"$25,536,695"
tt1069238,departures,"$72,738,741"
tt1173745,revanche,"$628,019"
tt1185616,waltz with bashir,"$8,895,523"
tt0421715,the curious case of benjamin button,"$208,293,460"
tt0870111,frost/nixon,"$8,804,304"
tt1013753,milk,"$22,748,259"
tt0976051,the reader,"$74,708,079"
tt1010048,slumdog millionaire,"$237,090,614"
tt0327597,coraline,"$68,952,667"
tt0432283,fantastic mr. fox,"$37,084,225"
tt0780521,the princess and the frog,"$162,644,866"
tt0485601,the secret of kells,"$1,145,174"
tt1049413,up,"$442,096,756"
tt1077262,ajami,"$709,248"
tt1206488,the milk of sorrow,"$1,547,288"
tt1235166,a prophet,"$15,785,971"
tt1305806,the secret in their eyes,"$28,688,214"
tt1149362,the white ribbon,"$17,130,726"
tt0499549,avatar,"$2,138,484,377"
tt0878804,the blind side,"$53,248,834"
tt1136608,district 9,"$95,242,715"
tt1174732,an education,"$13,521,938"
tt0887912,the hurt locker,"$32,241,955"
tt0361748,inglourious basterds,"$200,918,582"
tt0929632,precious: based on the novel 'push' by sapphire,"$16,083,005"
tt1019452,a serious man,"$22,201,566"
tt1193138,up in the air,"$83,019,358"
tt0892769,how to train your dragon,"$277,298,240"
tt0775489,the illusionist,"$3,775,720"
tt0435761,toy story 3,"$652,311,221"
tt1164999,biutiful,"$20,046,549"
tt1379182,dogtooth,"$611,666"
tt1340107,in a better world,"$11,996,406"
tt1255953,incendies,"$4,726,527"
tt1229381,outside the law (hors-la-loi),"$3,373,554"
tt0947798,black swan,"$222,443,368"
tt0964517,the fighter,"$35,573,860"
tt1375666,inception,"$546,794,568"
tt0842926,the kids are all right,"$13,947,586"
tt1504320,the king's speech,"$332,357,999"
tt1542344,127 hours,"$42,403,567"
tt1285016,the social network,"$127,957,681"
tt1403865,true grit,"$81,033,922"
tt1399683,winter's bone,"$7,265,331"
tt1673702,a cat in paris,"$1,772,098"
tt1235830,chico & rita,"$1,997,395"
tt1302011,kung fu panda 2,"$500,443,218"
tt0448694,puss in boots,"$405,726,973"
tt1192628,rango,"$122,246,996"
tt1821593,bullhead,"$4,331,307"
tt1445520,footnote,"$443,501"
tt1417075,in darkness,"$8,914,430"
tt2011971,monsieur lazhar,"$7,065,194"
tt1832382,a separation,"$15,827,021"
tt1655442,the artist,"$88,799,489"
tt1033575,the descendants,"$94,659,025"
tt0477302,extremely loud & incredibly close,"$23,400,000"
tt1454029,the help,"$52,094,074"
tt0970179,hugo,"$111,905,803"
tt1605783,midnight in paris,"$94,670,338"
tt1210166,moneyball,"$34,600,724"
tt0478304,the tree of life,"$45,083,468"
tt1568911,war horse,"$97,700,000"
tt1217209,brave,"$301,700,000"
tt1142977,frankenweenie,"$50,322,590"
tt1623288,paranorman,"$51,136,348"
tt1430626,the pirates! band of misfits,"$92,014,915"
tt1772341,wreck-it ralph,"$281,800,061"
tt1602620,amour,"$22,924,648"
tt1613750,kon-tiki,"$21,325,477"
tt2059255,no,"$5,355,431"
tt1276419,a royal affair,"$13,212,236"
tt1820488,war witch,"$242,843"
tt1024648,argo,"$96,300,000"
tt2125435,beasts of the southern wild,"$8,312,000"
tt1853728,django unchained,"$263,268,939"
tt1707386,les misérables,"$293,497,389"
tt0454876,life of pi,"$484,029,542"
tt0443272,lincoln,"$93,085,477"
tt1045658,silver linings playbook,"$104,319,495"
tt1790885,zero dark thirty,"$37,100,000"
tt0481499,the croods,"$400,067,558"
tt1690953,despicable me 2,"$602,700,620"
tt1816518,ernest & celestine,"$7,908,258"
tt2294629,frozen,"$909,378,310"
tt2013293,the wind rises,"$131,865,880"
tt2024519,the broken circle breakdown,"$5,866,445"
tt2358891,the great beauty,"$22,614,999"
tt2106476,the hunt,"$15,273,065"
tt2852470,the missing picture,"$25,933"
tt2852406,omar,"$258,444"
tt1800241,american hustle,"$101,054,000"
tt1535109,captain phillips,"$111,690,956"
tt0790636,dallas buyers club,"$27,900,000"
tt1454468,gravity,"$449,626,800"
tt1798709,her,"$22,701,018"
tt1821549,nebraska,"$10,027,960"
tt2431286,philomena,"$62,419,893"
tt2024544,12 years a slave,"$131,061,209"
tt0993846,the wolf of wall street,"$289,977,539"
tt2245084,big hero 6,"$435,341,858"
tt0787474,the boxtrolls,"$57,418,465"
tt1646971,how to train your dragon 2,"$444,534,595"
tt1865505,song of the sea,"$3,370,512"
tt2576852,the tale of the princess kaguya,"$23,776,487"
tt2718492,ida,"$7,329,776"
tt2802154,leviathan,"$3,346,681"
tt2991224,tangerines,"$879,631"
tt3409392,timbuktu,"$6,103,316"
tt3011894,wild tales,"$28,372,363"
tt2179136,american sniper,"$197,500,000"
tt2562232,birdman or (the unexpected virtue of ignorance),"$60,874,496"
tt1065073,boyhood,"$22,785,385"
tt2278388,the grand budapest hotel,"$115,261,956"
tt2084970,the imitation game,"$142,430,025"
tt1020072,selma,"$15,705,854"
tt2980516,the theory of everything,"$87,833,151"
tt2582802,whiplash,"$36,348,474"
tt2401878,anomalisa,"$1,900,000"
tt3183630,boy and the world,"$147,663"
tt2096673,inside out,"$502,609,564"
tt2872750,shaun the sheep movie,"$91,167,234"
tt3398268,when marnie was there,"$34,451,596"
tt4285496,embrace of the serpent,"$1,887,927"
tt3966404,mustang,"$4,429,200"
tt3808342,son of saul,"$4,882,078"
tt3170902,theeb,"$485,425"
tt3830162,a war,"$991,761"
tt1596363,the big short,"$63,181,000"
tt3682448,bridge of spies,"$93,164,594"
tt2381111,brooklyn,"$24,079,412"
tt1392190,mad max: fury road,"$226,156,977"
tt3659388,the martian,"$402,187,155"
tt1663202,the revenant,"$349,312,609"
tt3170832,room,"$20,724,104"
tt1895587,spotlight,"$53,634,478"
tt4302938,kubo and the two strings,"$28,226,350"
tt3521164,moana,"$394,575,423"
tt2321405,my life as a zucchini,"$5,563,391"
tt3666024,the red turtle,"$5,691,529"
tt2948356,zootopia,"$684,253,441"
tt3841424,land of mine,"$2,734,287"
tt4080728,a man called ove,"$27,247,309"
tt5186714,the salesman,"$4,551,537"
tt4239726,tanna,"$55,646"
tt4048272,toni erdmann,"$10,523,477"
tt2543164,arrival,"$112,212,517"
tt2671706,fences,"$6,731,857"
tt2119532,hacksaw ridge,"$113,354,021"
tt2582782,hell or high water,"$10,991,831"
tt4846340,hidden figures,"$66,349,611"
tt3783958,la la land,"$358,079,696"
tt3741834,lion,"$89,114,905"
tt4034228,manchester by the sea,"$31,292,777"
tt4975722,moonlight,"$37,317,679"
tt3874544,the boss baby,"$352,962,903"
tt3901826,the breadwinner,"$2,476,999"
tt2380307,coco,"$604,181,157"
tt3411444,ferdinand,"$211,658,819"
tt3262342,loving vincent,"$35,452,547"
tt5639354,a fantastic woman,"$1,818,376"
tt7048622,the insult,"$2,664,931"
tt6304162,loveless,"$3,362,002"
tt5607714,on body and soul,"$2,132,634"
tt4995790,the square,"$7,085,683"
tt5726616,call me by your name,"$49,350,010"
tt4555426,darkest hour,"$94,378,864"
tt5013056,dunkirk,"$343,904,142"
tt5052448,get out,"$79,548,492"
tt4925292,lady bird,"$30,028,205"
tt5776858,phantom thread,"$31,005,035"
tt6294822,the post,"$111,861,206"
tt5580390,the shape of water,"$131,384,029"
tt5027774,"three billboards outside ebbing, missouri","$108,215,581"
tt3606756,incredibles 2,"$634,643,923"
tt5104604,isle of dogs,"$32,641,377"
tt6900448,mirai,"$27,944,167"
tt5848272,ralph breaks the internet,"$328,232,251"
tt4633694,spider-man: into the spider-verse,"$203,361,125"
tt8267604,capernaum,"$62,755,907"
tt6543652,cold war,"$15,904,754"
tt5311542,never look away,"$4,889,192"
tt6155172,roma,"$1,140,769"
tt8075192,shoplifters,"$64,685,822"
tt1825683,black panther,"$649,499,517"
tt7349662,blackkklansman,"$44,138,369"
tt1727824,bohemian rhapsody,"$694,141,269"
tt5083738,the favourite,"$61,551,923"
tt6966692,green book,"$236,672,485"
tt1517451,a star is born,"$221,100,000"
tt6266538,vice,"$28,237,206"
tt2386490,how to train your dragon: the hidden world,"$379,042,054"
tt9806192,i lost my body,"$1,136,431"
tt4729430,klaus,
tt6348138,missing link,"$9,916,171"
tt1979376,toy story 4,"$639,803,386"
tt8649186,corpus christi,"$9,816,661"
tt8991268,honeyland,"$499,178"
tt10199590,les misérables,"$54,276,191"
tt8291806,pain and glory,"$32,792,351"
tt6751668,parasite,"$208,757,704"
tt1950186,ford v ferrari,"$108,675,123"
tt1302006,the irishman,"$968,853"
tt2584384,jojo rabbit,"$60,323,801"
tt7286456,joker,"$743,480,625"
tt3281548,little women,"$224,002,569"
tt7653254,marriage story,"$333,686"
tt8579674,1917,"$286,836,708"
tt7131622,once upon a time...in hollywood,"$249,602,348"
tt7146812,onward,"$80,384,897"
tt7488208,over the moon,
tt6193408,a shaun the sheep movie: farmageddon,"$43,133,089"
tt2948372,soul,"$121,031,357"
tt5198068,wolfwalkers,"$1,310,720"
tt10288566,another round,"$12,742,455"
tt9586294,better days,"$225,391,987"
tt10706602,collective,"$200,041"
tt10360862,the man who sold his skin,"$227,290"
tt8633462,"quo vadis, aida?","$813,253"
tt10272386,the father,"$21,920,547"
tt9784798,judas and the black messiah,"$2,000,000"
tt10618286,mank,
tt10633456,minari,"$12,177,998"
tt9770150,nomadland,"$35,758,207"
tt9620292,promising young woman,"$12,393,201"
tt5363618,sound of metal,"$516,520"
tt1070874,the trial of the chicago 7,
tt2953050,encanto,"$165,190,570"
tt8430054,flee,"$371,922"
tt12801262,luca,"$49,750,471"
tt7979580,the mitchells vs. the machines,
tt5109280,raya and the last dragon,"$75,700,000"
tt14039582,drive my car,"$13,005,099"
tt12680684,the hand of god,"$167,909"
tt10189300,lunana: a yak in the classroom,"$1,990,014"
tt10370710,the worst person in the world,"$9,652,732"
tt12789558,belfast,"$39,907,839"
tt10366460,coda,"$1,905,058"
tt11286314,don't look up,"$791,863"
tt1160419,dune,"$301,770,188"
tt9620288,king richard,"$24,400,000"
tt11271038,licorice pizza,"$15,958,068"
tt7740496,nightmare alley,"$28,291,088"
tt10293406,the power of the dog,"$271,009"
tt3581652,west side story,"$37,485,849"
tt1488589,guillermo del toro's pinocchio,"$109,846"
tt15339456,marcel the shell with shoes on,"$575,507"
tt3915174,puss in boots: the last wish,"$294,375,878"
tt9288046,the sea beast,
tt8097030,turning red,"$20,414,357"
tt1016150,all quiet on the western front,
tt15301048,"argentina, 1985","$905,893"
tt9660502,close,"$4,115,931"
tt19652910,eo,"$1,516,470"
tt15109082,the quiet girl,"$5,285,390"
tt1630029,avatar: the way of water,"$1,636,174,514"
tt11813216,the banshees of inisherin,"$39,668,359"
tt3704428,elvis,"$137,630,236"
tt6710474,everything everywhere all at once,"$66,220,886"
tt14208870,the fabelmans,"$28,265,268"
tt14444726,tár,"$22,403,513"
tt1745960,top gun: maverick,"$776,963,471"
tt7322224,triangle of sadness,"$21,587,647"
tt13669038,women talking,"$3,819,572"
tt6587046,the boy and the heron,"$235,589,319"
tt15789038,elemental,"$342,017,611"
tt19500164,nimona,
tt13429870,robot dreams,"$3,781,282"
tt9362722,spider-man: across the spider-verse,"$309,230,984"
tt14225838,io capitano,"$7,486,903"
tt27503384,perfect days,"$21,894,284"
tt16277242,society of the snow,"$1,281"
tt26612950,the teachers' lounge,"$5,079,224"
tt7160372,the zone of interest,"$43,972,420"
tt23561236,american fiction,"$1,384,900"
tt17009710,anatomy of a fall,"$30,975,137"
tt1517268,barbie,"$810,800,000"
tt14849194,the holdovers,"$25,382,583"
tt5537002,killers of the flower moon,"$90,737,111"
tt5535276,maestro,"$383,532"
tt15398776,oppenheimer,"$645,732,438"
tt13238346,past lives,"$31,345,176"
tt14230458,poor things,"$83,072,230"
tt4772188,flow,"$25,123,846"
tt22022452,inside out 2,"$1,045,883,622"
tt23770030,memoir of a snail,"$6,903,000"
tt17163970,wallace & gromit: vengeance most fowl,"$191,452"
tt29623480,the wild robot,"$189,264,000"
tt20221436,emilia pérez,"$16,298,763"
tt10236164,the girl with the needle,"$417,972"
tt14961016,i'm still here,"$29,709,146"
tt32178949,the seed of the sacred fig,"$5,676,960"
tt28607951,anora,"$39,100,007"
tt8999762,the brutalist,"$33,978,343"
tt11563598,a complete unknown,"$65,261,340"
tt20215234,conclave,"$87,054,835"
tt15239678,dune: part two,"$432,500,000"
tt23055660,nickel boys,"$158,034"
tt17526714,the substance,"$59,732,017"
tt1262426,wicked,"$282,136,025"
