IMDb ID,title,budget
tt0245712,Amores Perros,2000000.0
tt0190332,"Crouching Tiger, Hidden Dragon",15000000.0
tt0234288,Divided We Fall,0.0
tt0209037,Everybody's Famous!,0.0
tt0216787,The Taste of Others,0.0
tt0241303,Chocolat,25000000.0
tt0195685,Erin Brockovich,50000000.0
tt0172495,Gladiator,103000000.0
tt0181865,Traffic,48000000.0
tt0268397,Jimmy Neutron: Boy Genius,25000000.0
tt0198781,"Monsters, Inc.",115000000.0
tt0126029,Shrek,50000000.0
tt0211915,Amélie,10000000.0
tt0279064,Elling,2100000.0
tt0169102,Lagaan: Once Upon a Time in India,9000000.0
tt0283509,No Man's Land,1000000.0
tt0292542,Son of the Bride,0.0
tt0268978,A Beautiful Mind,78000000.0
tt0280707,Gosford Park,18000000.0
tt0247425,In the Bedroom,1700000.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,93000000.0
tt0203009,Moulin Rouge!,53000000.0
tt0268380,Ice Age,65000000.0
tt0275847,Lilo & Stitch,80000000.0
tt0166813,Spirit: Stallion of the Cimarron,80000000.0
tt0245429,Spirited Away,19200000.0
tt0133240,Treasure Planet,100000000.0
tt0313196,The Crime of Padre Amaro,3000000.0
tt0299977,Hero,42000000.0
tt0311519,The Man Without a Past,0.0
tt0161860,Nowhere in Africa,6500000.0
tt0245157,Zus & Zo,0.0
tt0299658,Chicago,30000000.0
tt0217505,Gangs of New York,97000000.0
tt0274558,The Hours,25000000.0
tt0167261,The Lord of the Rings: The Two Towers,94000000.0
tt0253474,The Pianist,35000000.0
tt0328880,Brother Bear,46000000.0
tt0266543,Finding Nemo,94000000.0
tt0286244,The Triplets of Belleville,10000000.0
tt0338135,The Barbarian Invasions,4500000.0
tt0338309,Evil,0.0
tt0351817,The Twilight Samurai,0.0
tt0322674,Twin Sisters,0.0
tt0288330,Zelary,0.0
tt0167260,The Lord of the Rings: The Return of the King,94000000.0
tt0335266,Lost in Translation,4000000.0
tt0311113,Master and Commander: The Far Side of the World,135000000.0
tt0327056,Mystic River,30000000.0
tt0329575,Seabiscuit,86000000.0
tt0317705,The Incredibles,92000000.0
tt0307453,Shark Tale,75000000.0
tt0298148,Shrek 2,70000000.0
tt0382330,As It Is in Heaven,450000.0
tt0372824,The Chorus,13000000.0
tt0363163,Downfall,13500000.0
tt0369702,The Sea Inside,11500000.0
tt0419279,Yesterday,26000000.0
tt0338751,The Aviator,190000000.0
tt0308644,Finding Neverland,25000000.0
tt0405159,Million Dollar Baby,30000000.0
tt0350258,Ray,40000000.0
tt0375063,Sideways,17000000.0
tt0347149,Howl's Moving Castle,19000000.0
tt0121164,Corpse Bride,40000000.0
tt0312004,Wallace & Gromit: The Curse of the Were-Rabbit,30000000.0
tt0443446,Don't Tell,0.0
tt0424205,Joyeux Noel,22000000.0
tt0445620,Paradise Now,0.0
tt0426578,Sophie Scholl: The Final Days,6000000.0
tt0468565,Tsotsi,3000000.0
tt0388795,Brokeback Mountain,13900000.0
tt0379725,Capote,7000000.0
tt0375679,Crash,10000000.0
tt0433383,"Good Night, and Good Luck.",7000000.0
tt0408306,Munich,75000000.0
tt0317219,Cars,70000000.0
tt0366548,Happy Feet,85000000.0
tt0385880,Monster House,75000000.0
tt0457655,After the Wedding,7000000.0
tt0444182,Days of Glory,20000000.0
tt0405094,The Lives of Others,2000000.0
tt0457430,Pan's Labyrinth,19000000.0
tt0240200,Water,3000000.0
tt0449467,Babel,20000000.0
tt0407887,The Departed,90000000.0
tt0498380,Letters from Iwo Jima,13000000.0
tt0449059,Little Miss Sunshine,8000000.0
tt0436697,The Queen,15000000.0
tt0808417,Persepolis,7300000.0
tt0382932,Ratatouille,150000000.0
tt0423294,Surf's Up,100000000.0
tt0758732,Beaufort,0.0
tt0813547,The Counterfeiters,5000000.0
tt0879843,Katyn,0.0
tt0416044,Mongol: The Rise of Genghis Khan,20000000.0
tt0488478,12,0.0
tt0783233,Atonement,30000000.0
tt0467406,Juno,7000000.0
tt0465538,Michael Clayton,21500000.0
tt0477348,No Country for Old Men,25000000.0
tt0469494,There Will Be Blood,25000000.0
tt0397892,Bolt,150000000.0
tt0441773,Kung Fu Panda,130000000.0
tt0910970,WALL·E,180000000.0
tt0765432,The Baader Meinhof Complex,23000000.0
tt1068646,The Class,7000000.0
tt1069238,Departures,4500000.0
tt1173745,Revanche,0.0
tt1185616,Waltz with Bashir,2000000.0
tt0421715,The Curious Case of Benjamin Button,160000000.0
tt0870111,Frost/Nixon,29000000.0
tt1013753,Milk,20000000.0
tt0976051,The Reader,32500000.0
tt1010048,Slumdog Millionaire,14000000.0
tt0327597,Coraline,60000000.0
tt0432283,Fantastic Mr. Fox,40000000.0
tt0780521,The Princess and the Frog,105000000.0
tt0485601,The Secret of Kells,8000000.0
tt1049413,Up,175000000.0
tt1077262,Ajami,1000000.0
tt1206488,The Milk of Sorrow,2000000.0
tt1235166,A Prophet,10000000.0
tt1305806,The Secret in Their Eyes,4000000.0
tt1149362,The White Ribbon,11000000.0
tt0499549,Avatar,237000000.0
tt0878804,The Blind Side,29000000.0
tt1136608,District 9,30000000.0
tt1174732,An Education,7000000.0
tt0887912,The Hurt Locker,15000000.0
tt0361748,Inglourious Basterds,70000000.0
tt0929632,Precious,10000000.0
tt1019452,A Serious Man,7000000.0
tt1193138,Up in the Air,25000000.0
tt0892769,How to Train Your Dragon,165000000.0
tt0775489,The Illusionist,16000000.0
tt0435761,Toy Story 3,200000000.0
tt1164999,Biutiful,35000000.0
tt1379182,Dogtooth,323000.0
tt1340107,In a Better World,6000000.0
tt1255953,Incendies,6800000.0
tt1229381,Outside the Law,0.0
tt0947798,Black Swan,13000000.0
tt0964517,The Fighter,25000000.0
tt1375666,Inception,160000000.0
tt0842926,The Kids Are All Right,4000000.0
tt1504320,The King's Speech,15000000.0
tt1542344,127 Hours,18000000.0
tt1285016,The Social Network,40000000.0
tt1403865,True Grit,0.0
tt1399683,Winter's Bone,2000000.0
tt1673702,A Cat in Paris,6000000.0
tt1235830,Chico & Rita,13000000.0
tt1302011,Kung Fu Panda 2,150000000.0
tt0448694,Puss in Boots,130000000.0
tt1192628,Rango,135000000.0
tt1821593,Bullhead,3000000.0
tt1445520,Footnote,1500000.0
tt1417075,In Darkness,0.0
tt2011971,Monsieur Lazhar,0.0
tt1832382,A Separation,3000000.0
tt1655442,The Artist,16000000.0
tt1033575,The Descendants,20000000.0
tt0477302,Extremely Loud & Incredibly Close,40000000.0
tt1454029,The Help,25000000.0
tt0970179,Hugo,180000000.0
tt1605783,Midnight in Paris,30000000.0
tt1210166,Moneyball,50000000.0
tt0478304,The Tree of Life,32000000.0
tt1568911,War Horse,70000000.0
tt1217209,Brave,185000000.0
tt1142977,Frankenweenie,39000000.0
tt1623288,ParaNorman,60000000.0
tt1430626,The Pirates! Band of Misfits,55000000.0
tt1772341,Wreck-It Ralph,165000000.0
tt1602620,Amour,9700000.0
tt1613750,Kon-Tiki,0.0
tt2059255,No,0.0
tt1276419,A Royal Affair,10000000.0
tt1820488,War Witch,2000000.0
tt1024648,Argo,44500000.0
tt2125435,Beasts of the Southern Wild,1800000.0
tt1853728,Django Unchained,100000000.0
tt1707386,Les Misérables,61000000.0
tt0454876,Life of Pi,120000000.0
tt0443272,Lincoln,65000000.0
tt1045658,Silver Linings Playbook,21000000.0
tt1790885,Zero Dark Thirty,52500000.0
tt0481499,The Croods,135000000.0
tt1690953,Despicable Me 2,76000000.0
tt1816518,Ernest & Celestine,8000000.0
tt2294629,Frozen,0.0
tt2013293,The Wind Rises,35000000.0
tt2024519,The Broken Circle Breakdown,0.0
tt2358891,The Great Beauty,13000000.0
tt2106476,The Hunt,4000000.0
tt2852470,The Missing Picture,1000000.0
tt2852406,Omar,0.0
tt1800241,American Hustle,40000000.0
tt1535109,Captain Phillips,55000000.0
tt0790636,Dallas Buyers Club,5000000.0
tt1454468,Gravity,110000000.0
tt1798709,Her,23000000.0
tt1821549,Nebraska,12000000.0
tt2431286,Philomena,12000000.0
tt2024544,12 Years a Slave,20000000.0
tt0993846,The Wolf of Wall Street,100000000.0
tt2245084,Big Hero 6,165000000.0
tt0787474,The Boxtrolls,60000000.0
tt1646971,How to Train Your Dragon 2,145000000.0
tt1865505,Song of the Sea,0.0
tt2576852,The Tale of The Princess Kaguya,49000000.0
tt2718492,Ida,2600000.0
tt2802154,Leviathan,0.0
tt2991224,Tangerines,1500000.0
tt3409392,Timbuktu,2500000.0
tt3011894,Wild Tales,3000000.0
tt2179136,American Sniper,58000000.0
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),18000000.0
tt1065073,Boyhood,4000000.0
tt2278388,The Grand Budapest Hotel,31000000.0
tt2084970,The Imitation Game,15000000.0
tt1020072,Selma,20000000.0
tt2980516,The Theory of Everything,15000000.0
tt2582802,Whiplash,3300000.0
tt2401878,Anomalisa,8000000.0
tt3183630,The Boy and the World,2000000.0
tt2096673,Inside Out,0.0
tt2872750,Shaun the Sheep Movie,25000000.0
tt3398268,When Marnie Was There,20000000.0
tt4285496,Embrace of the Serpent,1200000.0
tt3966404,Mustang,1400000.0
tt3808342,Son of Saul,1500000.0
tt3170902,Theeb,535000.0
tt3830162,A War,5000000.0
tt1596363,The Big Short,28000000.0
tt3682448,Bridge of Spies,40000000.0
tt2381111,Brooklyn,11000000.0
tt1392190,Mad Max: Fury Road,150000000.0
tt3659388,The Martian,108000000.0
tt1663202,The Revenant,135000000.0
tt3170832,Room,0.0
tt1895587,Spotlight,20000000.0
tt4302938,Kubo and the Two Strings,55000000.0
tt3521164,Moana,150000000.0
tt2321405,My Life as a Zucchini,8000000.0
tt3666024,The Red Turtle,6000000.0
tt2948356,Zootopia,150000000.0
tt3841424,Land of Mine,6000000.0
tt4080728,A Man Called Ove,7000000.0
tt5186714,The Salesman,2000000.0
tt4239726,Tanna,0.0
tt4048272,Toni Erdmann,0.0
tt2543164,Arrival,47000000.0
tt2671706,Fences,24000000.0
tt2119532,Hacksaw Ridge,40000000.0
tt2582782,Hell or High Water,12000000.0
tt4846340,Hidden Figures,25000000.0
tt3783958,La La Land,30000000.0
tt3741834,Lion,12000000.0
tt4034228,Manchester by the Sea,8500000.0
tt4975722,Moonlight,0.0
tt3874544,The Boss Baby,125000000.0
tt3901826,The Breadwinner,0.0
tt2380307,Coco,175000000.0
tt3411444,Ferdinand,111000000.0
tt3262342,Loving Vincent,5500000.0
tt5639354,A Fantastic Woman,2000000.0
tt7048622,The Insult,4000000.0
tt6304162,Loveless,5000000.0
tt5607714,On Body and Soul,3000000.0
tt4995790,The Square,10000000.0
tt5726616,Call Me by Your Name,3500000.0
tt4555426,Darkest Hour,30000000.0
tt5013056,Dunkirk,150000000.0
tt5052448,Get Out,5000000.0
tt4925292,Lady Bird,10000000.0
tt5776858,Phantom Thread,35000000.0
tt6294822,The Post,50000000.0
tt5580390,The Shape of Water,19500000.0
tt5027774,"Three Billboards Outside Ebbing, Missouri",12000000.0
tt3606756,Incredibles 2,200000000.0
tt5104604,Isle of Dogs,0.0
tt6900448,Mirai,9000000.0
tt5848272,Ralph Breaks the Internet,175000000.0
tt4633694,Spider-Man: Into the Spider-Verse,90000000.0
tt8267604,Capernaum,4000000.0
tt6543652,Cold War,0.0
tt5311542,Never Look Away,30000000.0
tt6155172,Roma,15000000.0
tt8075192,Shoplifters,3000000.0
tt1825683,Black Panther,200000000.0
tt7349662,BlacKkKlansman,15000000.0
tt1727824,Bohemian Rhapsody,52000000.0
tt5083738,The Favourite,15000000.0
tt6966692,Green Book,23000000.0
tt1517451,A Star Is Born,36000000.0
tt6266538,Vice,0.0
tt2386490,How to Train Your Dragon: The Hidden World,129000000.0
tt9806192,I Lost My Body,6000000.0
tt4729430,Klaus,40000000.0
tt6348138,Missing Link,100000000.0
tt1979376,Toy Story 4,200000000.0
tt8649186,Corpus Christi,0.0
tt8991268,Honeyland,500.0
tt10199590,Les Misérables,61000000.0
tt8291806,Pain and Glory,11000000.0
tt6751668,Parasite,11400000.0
tt1950186,Ford v Ferrari,97600000.0
tt1302006,The Irishman,160000000.0
tt2584384,Jojo Rabbit,14000000.0
tt7286456,Joker,0.0
tt3281548,Little Women,15000000.0
tt7653254,Marriage Story,18000000.0
tt8579674,1917,95000000.0
tt7131622,Once Upon a Time... in Hollywood,90000000.0
tt7146812,Onward,200000000.0
tt7488208,Over the Moon,38000000.0
tt6193408,A Shaun the Sheep Movie: Farmageddon,25000000.0
tt2948372,Soul,150000000.0
tt5198068,Wolfwalkers,10000000.0
tt10288566,Another Round,4000000.0
tt9586294,Better Days,9000000.0
tt10706602,Collective,1000000.0
tt10360862,The Man Who Sold His Skin,1500000.0
tt8633462,"Quo Vadis, Aida?",2300000.0
tt10272386,The Father,6000000.0
tt9784798,Judas and the Black Messiah,26000000.0
tt10618286,Mank,0.0
tt10633456,Minari,2000000.0
tt9770150,Nomadland,5000000.0
tt9620292,Promising Young Woman,0.0
tt5363618,Sound of Metal,5400000.0
tt1070874,The Trial of the Chicago 7,35000000.0
tt2953050,Encanto,120000000.0
tt8430054,Flee,3000000.0
tt12801262,Luca,50000000.0
tt7979580,The Mitchells vs. the Machines,85000000.0
tt5109280,Raya and the Last Dragon,0.0
tt14039582,Drive My Car,2000000.0
tt12680684,The Hand of God,5000000.0
tt10189300,Lunana: A Yak in the Classroom,200.0
tt10370710,The Worst Person in the World,5000000.0
tt12789558,Belfast,20000000.0
tt10366460,CODA,10000000.0
tt11286314,Don't Look Up,0.0
tt1160419,Dune: Part One,165000000.0
tt9620288,King Richard,50000000.0
tt11271038,Licorice Pizza,40000000.0
tt7740496,Nightmare Alley,60000000.0
tt10293406,The Power of the Dog,39000000.0
tt3581652,West Side Story,6000000.0
tt1488589,Guillermo del Toro's Pinocchio,35000000.0
tt15339456,Marcel the Shell with Shoes On,6300000.0
tt3915174,Puss in Boots: The Last Wish,90000000.0
tt9288046,The Sea Beast,70000000.0
tt8097030,Turning Red,175000000.0
tt1016150,All Quiet on the Western Front,0.0
tt15301048,"Argentina, 1985",10000000.0
tt9660502,Close,3000000.0
tt19652910,EO,2000000.0
tt15109082,The Quiet Girl,1000000.0
tt1630029,Avatar: The Way of Water,460000000.0
tt11813216,The Banshees of Inisherin,20000000.0
tt3704428,Elvis,85000000.0
tt6710474,Everything Everywhere All at Once,25000000.0
tt14208870,The Fabelmans,40000000.0
tt14444726,Tár,35000000.0
tt1745960,Top Gun: Maverick,170000000.0
tt7322224,Triangle of Sadness,15600000.0
tt13669038,Women Talking,10000000.0
tt6587046,The Boy and the Heron,25000000.0
tt15789038,Elemental,175000000.0
tt19500164,Nimona,0.0
tt13429870,Robot Dreams,50000000.0
tt9362722,Spider-Man: Across the Spider-Verse,100000000.0
tt14225838,Io Capitano,3000000.0
tt27503384,Perfect Days,4000000.0
tt16277242,Society of the Snow,10000000.0
tt26612950,The Teachers' Lounge,4000000.0
tt7160372,The Zone of Interest,8000000.0
tt23561236,American Fiction,7000000.0
tt17009710,Anatomy of a Fall,8000000.0
tt1517268,Barbie,145000000.0
tt14849194,The Holdovers,25000000.0
tt5537002,Killers of the Flower Moon,200000000.0
tt5535276,Maestro,0.0
tt15398776,Oppenheimer,100000000.0
tt13238346,Past Lives,2000000.0
tt14230458,Poor Things,50000000.0
tt4772188,Flow,5000000.0
tt22022452,Inside Out 2,200000000.0
tt23770030,Memoir of a Snail,1000000.0
tt17163970,Wallace & Gromit: Vengeance Most Fowl,30000000.0
tt29623480,The Wild Robot,40000000.0
tt20221436,Emilia Pérez,3000000.0
tt10236164,The Girl with the Needle,2000000.0
tt14961016,I'm Still Here,0.0
tt32178949,The Seed of the Sacred Fig,1500000.0
tt28607951,Anora,2000000.0
tt8999762,The Brutalist,12000000.0
tt11563598,A Complete Unknown,2000000.0
tt20215234,Conclave,10000000.0
tt15239678,Dune: Part Two,200000000.0
tt23055660,Nickel Boys,4000000.0
tt17526714,The Substance,6000000.0
tt1262426,Wicked,145000000.0
